Milliseconds,Weight (grams)
23598,-2.189188
23609,-2.743297
23621,-3.64259
23632,-4.223951
23644,-3.043061
23655,-2.716046
23666,-1.32623
23678,-1.090052
23689,-1.998428
23701,-2.443533
23761,-2.761465
23769,-2.498035
23780,-2.107434
23792,-1.780418
23803,-2.534371
23814,-2.834135
23826,-2.38903
23837,-2.298193
23849,-1.871256
23860,-2.634292
23922,-2.152853
23928,-2.379946
23940,-1.716832
23951,-1.962093
23962,-2.38903
23974,-1.88034
23985,-2.143769
23997,-3.16115
24008,-3.551752
24019,-3.251988
24081,-2.38903
24088,-2.216439
24099,-2.65246
24110,-2.125601
24122,-1.898507
24133,-1.88034
24145,-2.31636
24156,-3.097564
24167,-3.006727
24179,-3.597171
24243,-2.597957
24247,-1.862172
24258,-2.997643
24270,-3.351909
24281,-2.65246
24293,-2.897721
24304,-2.425365
